scode,sname,amccode
119341,BARODA PIONEER GILT FUND - Plan B (Direct) - Growth Option,4
102021,BARODA PIONEER GROWTH FUND - Plan A - Dividend Option,4
102020,BARODA PIONEER GROWTH FUND - Plan A - Growth Option,4
119353,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Dividend Option,4
119354,BARODA PIONEER GROWTH FUND - Plan B (Direct) - Growth Option,4
101155,BARODA PIONEER INCOME FUND - Plan A - Dividend Option,4
101154,BARODA PIONEER INCOME FUND - Plan A - Growth Option,4
119361,BARODA PIONEER INCOME FUND - Plan B (Direct) - Dividend Option,4
119362,BARODA PIONEER INCOME FUND - Plan B (Direct) - Growth Option,4
112944,Baroda Pioneer Large cap Fund - Plan A - Dividend Option,4
112943,Baroda Pioneer Large cap Fund - Plan A - Growth Option,4
119366,Baroda Pioneer Large cap Fund - Plan B (Direct) - Dividend Option,4
119367,Baroda Pioneer Large cap Fund - Plan B (Direct) - Growth Option,4
125128,Baroda Pioneer Liquid Fund - Plan A - Bonus Option,4
111707,BARODA PIONEER LIQUID FUND - Plan A - DAILY DIVIDEND OPTION,4
111704,BARODA PIONEER LIQUID FUND - Plan A - GROWTH OPTION,4
111705,BARODA PIONEER LIQUID FUND - PLAN A - WEEKLY DIVIDEND OPTION,4
125129,Baroda Pioneer Liquid Fund - Plan B (Direct) - Bonus Option,4
119414,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - DAILY DIVIDEND OPTION,4
119415,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - GROWTH OPTION,4
119416,BARODA PIONEER LIQUID FUND - PLAN B (DIRECT) - WEEKLY DIVIDEND OPTION,4
116803,Baroda Pioneer Liquid Fund - Regular - Weekly Dividend Option,4
111706,BARODA PIONEER LIQUID FUND PLAN A - MONTHLY DIVIDEND OPTION,4
101408,BARODA PIONEER LIQUID FUND- Regular Growth Option,4
101409,BARODA PIONEER LIQUID FUND-Regular Daily Dividend Option,4
101407,BARODA PIONEER LIQUID FUND-Regular Dividend Option,4
113328,Baroda Pioneer Mid-cap Fund- Plan A - Dividend Option,4
